# Pedigree data for the Lg/Sm mouse advanced intercross line. Each row 
# refers to an individual mouse.
#
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation
#  (3) sex (M = male, F = female)
#  (4) id of father
#  (5) id of mother
#
# Individual identifiers that are given special attention are:
#
#  -9999  genetically identical inbred Sm/j males
#  -9998  genetically identical inbred Lg/j females
#  -9997  genetically identical F1 male offspring from Sm/j x Lg/j cross
#  -9996  genetically identical F1 female offspring from Sm/j x Lg/j cross
#      0  unknown
#
id,generation,sex,sire,dam
F2437,F2,M,-9997,-9996
F2438,F2,M,-9997,-9996
F2439,F2,M,-9997,-9996
F2441,F2,F,-9997,-9996
F2443,F2,M,-9997,-9996
F2445,F2,M,-9997,-9996
F2446,F2,M,-9997,-9996
F2447,F2,M,-9997,-9996
F2451,F2,M,-9997,-9996
F2452,F2,M,-9997,-9996
F2453,F2,F,-9997,-9996
F2454,F2,F,-9997,-9996
F2455,F2,M,-9997,-9996
F2458,F2,F,-9997,-9996
F2459,F2,M,-9997,-9996
F2460,F2,F,-9997,-9996
F2461,F2,M,-9997,-9996
F2462,F2,F,-9997,-9996
F2463,F2,F,-9997,-9996
F2466,F2,F,-9997,-9996
F2467,F2,M,-9997,-9996
F2468,F2,F,-9997,-9996
F2470,F2,F,-9997,-9996
F2472,F2,M,-9997,-9996
F2473,F2,M,-9997,-9996
F2474,F2,F,-9997,-9996
F2475,F2,M,-9997,-9996
F2476,F2,M,-9997,-9996
F2478,F2,M,-9997,-9996
F266,F2,F,-9997,-9996
F267,F2,F,-9997,-9996
F268,F2,M,-9997,-9996
F273,F2,M,-9997,-9996
F284,F2,M,-9997,-9996
F287,F2,M,-9997,-9996
F297,F2,F,-9997,-9996
1011,F3,M,F2200,F2280
1029,F3,M,F2259,F2256
1030,F3,F,F2259,F2256
1032,F3,F,F2220,F2267
1036,F3,M,F2239,F2260
1057,F3,F,F2238,F2269
1059,F3,M,F2238,F2269
1060,F3,M,F2245,F2233
1065,F3,F,F2250,F2215
1070,F3,F,F2231,F2208
1071,F3,M,F2231,F2208
1079,F3,M,F2223,F2243
1085,F3,F,F2274,F2253
1086,F3,F,F2223,F2243
1090,F3,F,F2232,F2216
1091,F3,M,F2232,F2216
1094,F3,F,F2217,F2228
1102,F3,M,F2217,F2228
1115,F3,F,F2183,F2226
1118,F3,M,F2263,F2242
1124,F3,F,F2263,F2242
1134,F3,M,F2197,F2249
1138,F3,F,F2197,F2249
1139,F3,F,F284,F2135
1140,F3,M,F2359,F2135
1162,F3,F,F2230,F2275
1163,F3,M,F2230,F2275
1198,F3,F,F2323,F2332
1202,F3,F,F2326,F2334
1207,F3,M,F2326,F2334
1209,F3,M,F2323,F2332
1214,F3,M,F2349,F2292
1219,F3,F,F2143,F2130
1223,F3,F,F2349,F2292
1225,F3,F,F2297,F2315
1231,F3,M,F2297,F2315
1235,F3,F,F2131,F2309
1252,F3,M,F2363,F2299
1254,F3,M,F2301,F2318
1261,F3,F,F2301,F2318
1264,F3,F,F2363,F2299
1273,F3,F,F2312,F2327
1282,F3,F,F2342,F2284
1283,F3,M,F2342,F2284
1293,F3,F,F2350,F2316
1310,F3,F,F2298,F2314
1313,F3,M,F2298,F2314
1314,F3,M,F2344,F2302
1315,F3,F,F2344,F2302
1319,F3,M,F2319,F2331
1320,F3,F,F2225,F2104
1328,F3,M,F2225,F2104
1332,F3,F,F2259,F266
